id,kode,kelompok_id,nama,qty_item,satuan,foto_barang,harga_total
1,1010301001000010,1,Pensil Steadler,0,Buah,,0
2,1010301001000013,1,Spidol,0,Buah,,0
3,1010301001000017,1,Ballpoint Pilot,0,Buah,,0
4,1010301001000046,1,Stabillo Bos,0,Buah,,0
5,1010301001000147,1,Pensil Mekanik pilot,0,Buah,,0
6,1010301001000190,1,Ballpoint Pilot-Baliner,0,Buah,,0
7,1010301001000198,1,Ballpoint Merah,0,Buah,,0
8,1010301001000200,1,"Ballpoint Standard AE7 0,5 Warna Merah",35,Buah,backend/assets/images/barang/foto_1010301001000200.jpg,77700
9,1010301001000204,1,Pensil 2B Faber Castle,0,Buah,,0
10,1010301001000205,1,Pulpen Faster C6,8,Buah,backend/assets/images/barang/foto_1010301001000205.jpg,53280
11,1010301001000206,1,"Pensil Mekanik Faber Castle Econ 0,5",0,Buah,,0
12,1010301001000207,1,"Isi Pensil Mekanik Pilot Eno 2B 0,5",0,Buah,,0
13,1010301001000209,1,"Isi Pensil Mekanik 2,00 mm",0,Buah,,0
14,1010301001000210,1,Ballpoint Standar AE 7 Merah,0,Buah,,0
15,1010301001000211,1,Balliner Biru,11,Buah,backend/assets/images/barang/foto_1010301001000211.png,198435
16,1010301001000212,1,Ballpoint Joyco Quaco,0,Buah,,0
17,1010301001000213,1,Pulpen Pilot Frixion Hitam,0,Buah,backend/assets/images/barang/foto_1010301001000213.png,0
18,1010301001000214,1,Pulpen Pilot Frixion Biru,3,Buah,backend/assets/images/barang/foto_1010301001000214.png,83250
19,1010301001000215,1,Pulpen Merah Standar,0,Buah,,0
20,1010301001000216,1,Pulpen Hitam Standar,0,Buah,,0
21,1010301001000217,1,Pensil Faber Castle 2B,50,Buah,backend/assets/images/barang/foto_1010301001000217.png,239280
22,1010301001000218,1,"Refill Pilot Frixion 0,7 Biru",32,Buah,backend/assets/images/barang/foto_1010301001000218.png,537600
23,1010301001000219,1,Permanent Marker Snowman 520,0,Buah,backend/assets/images/barang/foto_1010301001000219.png,0
24,1010301001000220,1,Marker snowman hitam,17,Buah,backend/assets/images/barang/foto_1010301001000220.png,150960
25,1010301001000221,1,Marker snowman biru,11,Buah,backend/assets/images/barang/foto_1010301001000221.png,97680
26,1010301001000222,1,Balliner Hitam,10,Buah,backend/assets/images/barang/foto_1010301001000222.png,180060
27,1010301001000223,1,Pulpen Pilot Frixion Merah,9,Buah,backend/assets/images/barang/foto_1010301001000223.png,249750
28,1010301001000224,1,Pulpen 4 warna Joyko,7,Buah,backend/assets/images/barang/foto_1010301001000224.png,54390
29,1010301001000225,1,Pilot Frixion 3 Warna,0,Buah,,0
30,1010301001000226,1,Pentel Techniklick,3,Buah,backend/assets/images/barang/foto_1010301001000226.jpg,139860
31,1010301001000227,1,Refill Pilot Frixion Hitam,29,Buah,backend/assets/images/barang/foto_1010301001000227.png,482850
32,1010301001000228,1,Pulpen joyko Q gel Hitam,36,Buah,backend/assets/images/barang/foto_1010301001000228.png,114560
33,1010301001000229,1,Refill pilot frixion merah,38,Buah,backend/assets/images/barang/foto_1010301001000229.jpg,632700
34,1010301001000230,1,Spidol Joyko Hitam,2,Buah,backend/assets/images/barang/foto_1010301001000230.jpg,13500
35,1010301001000231,1,Spidol Joyko Biru,2,Buah,backend/assets/images/barang/foto_1010301001000231.jpg,13500
